algorithm,time,1,1,1,1
round_robin,1000,8.108374384236454,7.977339901477833,7.98128078817734,7.982266009852217
round_robin,1000,8.431372549019608,8.257843137254902,8.320588235294117,8.530392156862746
round_robin,1000,8.163869693978283,8.265547877591313,8.190523198420532,8.4106614017769
round_robin,1000,7.859528487229863,7.9783889980353635,8.06385068762279,7.931237721021611
round_robin,1000,8.050098231827112,7.860510805500982,8.06385068762279,7.87524557956778
round_robin,1000,8.66600985221675,8.245320197044334,8.297536945812809,8.495566502463054
round_robin,1000,8.333659491193737,8.5,8.13600782778865,8.241682974559687
round_robin,1000,8.123529411764705,7.885294117647059,8.290196078431373,8.234313725490196
round_robin,1000,7.915520628683693,8.258349705304518,8.00589390962672,8.294695481335953
round_robin,1000,7.998031496062992,8.207677165354331,7.974409448818897,8.012795275590552
round_robin,1000,8.277832512315271,8.20295566502463,7.903448275862069,8.058128078817735
round_robin,1000,8.386875612144957,8.186092066601372,8.604309500489716,8.248775710088148
round_robin,1000,8.1220703125,7.876953125,7.861328125,8.0634765625
round_robin,1000,8.055992141453832,8.032416502946955,8.023575638506877,8.166994106090373
round_robin,1000,8.259587020648967,8.225172074729597,8.261553588987217,8.116027531956735
round_robin,1000,8.311701081612586,8.008849557522124,7.92133726647001,8.271386430678467
round_robin,1000,8.051130776794494,8.390363815142576,8.12487708947886,7.9705014749262535
round_robin,1000,8.388943731490622,8.305034550839093,8.221125370187561,8.209279368213227
round_robin,1000,8.133726647000984,8.062930186823992,8.205506391347098,8.054080629301868
round_robin,1000,8.20353982300885,8.307767944936087,8.369714847590954,7.971484759095379
round_robin,1000,8.448377581120944,8.313667649950835,8.16322517207473,8.395280235988201
round_robin,1000,8.212450592885375,8.274703557312254,8.100790513833992,8.304347826086957
round_robin,1000,8.152859960552268,8.157790927021697,7.962524654832347,8.185404339250493
round_robin,1000,7.993143976493633,8.037218413320275,8.150832517140058,8.257590597453477
round_robin,1000,8.293018682399213,8.119960668633235,8.296951819075712,8.262536873156343
round_robin,1000,7.9862204724409445,8.283464566929133,8.131889763779528,8.21751968503937
round_robin,1000,8.380999020568071,8.123408423114594,8.079333986287953,8.016650342801176
round_robin,1000,8.166175024582104,8.137659783677483,8.054080629301868,8.298918387413963
round_robin,1000,8.165029469548134,8.611984282907661,8.18958742632613,8.443025540275048
round_robin,1000,7.954813359528488,8.00785854616896,7.595284872298625,7.960707269155206
round_robin,1000,8.141732283464567,8.25492125984252,8.159448818897637,8.098425196850394
round_robin,1000,8.383251231527094,8.220689655172414,8.240394088669952,8.360591133004926
round_robin,1000,8.224730127576056,8.008832188420019,8.46712463199215,8.14622178606477
round_robin,1000,8.147894221351615,7.983349657198825,8.034280117531832,8.07541625857003
round_robin,1000,8.050980392156863,8.2,8.054901960784314,8.269607843137255
round_robin,1000,7.980334316617502,8.323500491642084,8.23205506391347,8.192723697148477
round_robin,1000,8.128331688055281,8.089832181638696,8.1786771964462,8.076011846001974
round_robin,1000,8.077603143418468,8.028487229862476,8.30943025540275,8.109037328094303
round_robin,1000,8.106967615309127,8.032384690873405,7.921491658488715,8.172718351324828
round_robin,1000,8.268627450980393,7.995098039215686,8.125490196078431,8.098039215686274
round_robin,1000,8.238658777120316,7.761341222879684,7.93491124260355,8.322485207100591
round_robin,1000,8.212536728697355,8.252693437806073,8.243878550440744,8.312438785504407
round_robin,1000,8.311330049261084,8.205911330049261,8.308374384236453,8.107389162561576
round_robin,1000,8.010826771653543,8.126968503937007,8.53740157480315,8.082677165354331
round_robin,1000,8.322485207100591,8.362919132149901,8.202169625246547,8.201183431952662
round_robin,1000,8.073818897637794,8.377952755905511,8.096456692913385,8.19488188976378
round_robin,1000,8.01175318315377,8.378060724779628,8.422135161606269,8.363369245837415
round_robin,1000,8.12047012732615,8.171400587659157,8.240940254652301,8.28109696376102
round_robin,1000,8.335603112840467,8.24124513618677,8.622568093385214,8.267509727626459
round_robin,1000,8.240157480314961,8.340551181102363,8.454724409448819,8.336614173228346
round_robin,1000,8.144117647058824,8.091176470588236,8.104901960784314,7.898039215686275
round_robin,1000,8.05,7.936274509803922,8.244117647058824,7.993137254901961
round_robin,1000,8.07866273352999,8.24975417895772,8.39724680432645,8.375614552605702
round_robin,1000,8.2426326129666,7.927308447937132,8.139489194499017,8.022593320235757
round_robin,1000,7.742913000977517,8.087976539589443,8.233626588465299,8.122189638318671
round_robin,1000,8.14720314033366,8.214916584887144,8.313052011776252,8.171736997055937
round_robin,1000,8.421414538310412,8.245579567779961,8.094302554027506,8.25540275049116
round_robin,1000,8.052216748768473,7.958620689655173,7.999014778325123,8.030541871921182
round_robin,1000,8.354616895874264,8.148330058939097,8.238703339882122,8.407662082514735
round_robin,1000,8.451581027667984,8.173913043478262,8.218379446640316,8.268774703557312
round_robin,1000,8.247553816046967,8.297455968688846,8.154598825831702,8.116438356164384
round_robin,1000,8.30844793713163,8.333988212180747,8.338899803536346,8.217092337917485
round_robin,1000,7.744094488188976,8.239173228346457,8.239173228346457,8.109251968503937
round_robin,1000,8.162633107454017,8.352371732817037,8.0784123910939,8.238141335914811
round_robin,1000,8.216879293424926,8.099116781157997,8.067713444553483,7.8616290480863595
round_robin,1000,8.250984251968504,8.12007874015748,8.421259842519685,8.209645669291339
round_robin,1000,8.36935166994106,8.18762278978389,8.585461689587426,8.212180746561886
round_robin,1000,7.959803921568628,8.107843137254902,8.156862745098039,8.104901960784314
round_robin,1000,8.177625122669284,8.28459273797841,7.979391560353288,8.094210009813542
round_robin,1000,8.259624876604146,8.263573543928924,7.966436327739388,8.19447186574531
